[312.818, 26.4874, 147.039, -235.094, 131.025, -33.8133, -45.7181, -302.735]
[313.619, 26.4874, 147.039, -235.094, 130.225, -33.8133, -45.7181, -302.735]
[313.619, 26.4874, 147.039, -229.506, 124.637, -33.8133, -45.7181, -302.735]
[313.619, 26.8988, 147.039, -229.917, 124.637, -33.8133, -45.7181, -302.735]
[314.371, 26.8988, 147.039, -229.917, 123.885, -33.8133, -45.7181, -302.735]
[314.371, 26.8988, 147.039, -233.783, 123.885, -33.8133, -45.7181, -298.869]
[314.371, 26.8988, 147.039, -233.939, 124.04, -33.8133, -45.7181, -298.869]
[314.678, 26.5926, 147.039, -233.939, 124.04, -33.8133, -45.7181, -298.869]
[314.678, 26.5926, 147.039, -234.622, 124.04, -33.1307, -45.7181, -298.869]
[314.678, 25.2702, 148.361, -234.622, 124.04, -33.1307, -45.7181, -298.869]
[314.678, 25.2702, 148.361, -238.378, 124.04, -33.1307, -45.7181, -295.112]
[314.7, 25.2702, 148.361, -238.401, 124.04, -33.1307, -45.7181, -295.112]
[314.7, 25.2702, 148.361, -236.326, 124.04, -33.1307, -45.7181, -297.187]
[314.7, 25.2702, 148.361, -236.326, 124.928, -33.1307, -46.6054, -297.187]
[314.7, 25.2702, 148.361, -236.991, 124.928, -32.4664, -46.6054, -297.187]
