[258.276, -42.5611, 115.04, -142.602, 99.9914, -47.9382, -10.4897, -229.684]
[258.688, -42.9734, 115.04, -142.602, 99.9914, -47.9382, -10.4897, -229.684]
[259.078, -42.9734, 115.04, -142.602, 99.9914, -48.3284, -10.4897, -229.684]
[259.233, -42.9734, 115.04, -142.757, 99.9914, -48.3284, -10.4897, -229.684]
[259.388, -42.9734, 115.04, -142.911, 99.9914, -48.3284, -10.4897, -229.684]
[259.388, -42.9734, 115.04, -140.319, 99.9914, -48.3284, -10.4897, -232.276]
[260.868, -42.9734, 115.04, -140.319, 98.5117, -48.3284, -10.4897, -232.276]
[260.868, -42.9734, 115.04, -141.056, 99.2485, -48.3284, -10.4897, -232.276]
[261.248, -42.9734, 115.04, -141.056, 99.2485, -48.7092, -10.4897, -232.276]
[261.248, -42.9734, 116.467, -141.056, 99.2485, -50.1361, -10.4897, -232.276]
[261.248, -42.9734, 116.467, -147.309, 99.2485, -50.1361, -10.4897, -226.023]
[261.248, -42.9734, 116.467, -140.323, 99.2485, -50.1361, -17.4759, -226.023]
[262.696, -42.9734, 116.467, -140.323, 97.8006, -50.1361, -17.4759, -226.023]
[262.696, -42.9734, 116.467, -132.3, 89.7775, -50.1361, -17.4759, -226.023]
[262.696, -44.4526, 117.946, -132.3, 89.7775, -50.1361, -17.4759, -226.023]
[263.085, -44.8409, 117.946, -132.3, 89.7775, -50.1361, -17.4759, -226.023]
[263.085, -44.8409, 117.946, -138.598, 89.7775, -50.1361, -17.4759, -219.725]
[263.47, -45.2263, 117.946, -138.598, 89.7775, -50.1361, -17.4759, -219.725]
[264.782, -45.2263, 117.946, -138.598, 88.4654, -50.1361, -17.4759, -219.725]
[266.423, -45.2263, 116.305, -138.598, 88.4654, -50.1361, -17.4759, -219.725]
[266.423, -45.2263, 116.599, -138.598, 88.4654, -50.1361, -17.4759, -220.02]
[266.423, -45.2263, 116.599, -138.598, 90.2188, -51.8894, -17.4759, -220.02]
[266.795, -45.5982, 116.599, -138.598, 90.2188, -51.8894, -17.4759, -220.02]
[266.795, -45.5982, 117.233, -139.231, 90.2188, -51.8894, -17.4759, -220.02]
[266.795, -45.5982, 117.233, -136.529, 90.2188, -51.8894, -17.4759, -222.722]
[267.164, -45.9674, 117.233, -136.529, 90.2188, -51.8894, -17.4759, -222.722]
[267.164, -47.4009, 118.666, -136.529, 90.2188, -51.8894, -17.4759, -222.722]
[267.164, -47.4009, 118.666, -142.691, 90.2188, -51.8894, -17.4759, -216.56]
[267.164, -47.4009, 118.666, -145.21, 90.2188, -49.3704, -17.4759, -216.56]
[267.164, -47.4009, 119.251, -145.795, 90.2188, -49.3704, -17.4759, -216.56]
[267.303, -47.4009, 119.251, -145.933, 90.2188, -49.3704, -17.4759, -216.56]
[268.927, -47.4009, 117.626, -145.933, 90.2188, -49.3704, -17.4759, -216.56]
[268.927, -47.4009, 119.015, -145.933, 90.2188, -50.759, -17.4759, -216.56]
[269.283, -47.7565, 119.015, -145.933, 90.2188, -50.759, -17.4759, -216.56]
[269.283, -47.7565, 119.015, -151.802, 90.2188, -50.759, -17.4759, -210.691]
[269.283, -47.7565, 119.563, -152.35, 90.2188, -50.759, -17.4759, -210.691]
[269.283, -47.7565, 120.913, -152.35, 90.2188, -52.1091, -17.4759, -210.691]
[269.41, -47.7565, 120.913, -152.477, 90.2188, -52.1091, -17.4759, -210.691]
[269.41, -47.7565, 120.913, -152.477, 91.9204, -53.8108, -17.4759, -210.691]
[269.537, -47.7565, 120.913, -152.604, 91.9204, -53.8108, -17.4759, -210.691]
[269.537, -47.7565, 121.447, -153.138, 91.9204, -53.8108, -17.4759, -210.691]
[269.537, -47.7565, 121.447, -154.933, 91.9204, -53.8108, -15.681, -210.691]
[269.87, -47.7565, 121.447, -154.933, 91.9204, -54.1432, -15.681, -210.691]
[269.87, -47.7565, 121.447, -154.933, 94.1489, -54.1432, -17.9095, -210.691]
[269.87, -47.7565, 121.447, -155.604, 94.8194, -54.1432, -17.9095, -210.691]
[269.87, -47.7565, 121.447, -161.163, 94.8194, -54.1432, -17.9095, -205.132]
[269.87, -47.7565, 121.447, -162.852, 94.8194, -54.1432, -16.2205, -205.132]
[269.87, -47.7565, 121.447, -163.472, 95.4387, -54.1432, -16.2205, -205.132]
[269.87, -47.7565, 121.926, -163.951, 95.4387, -54.1432, -16.2205, -205.132]
[269.87, -47.7565, 122.247, -163.951, 95.4387, -54.1432, -16.2205, -205.452]
[269.87, -45.6678, 122.247, -166.04, 95.4387, -54.1432, -16.2205, -205.452]
[270.228, -46.0261, 122.247, -166.04, 95.4387, -54.1432, -16.2205, -205.452]
[270.228, -47.3998, 123.621, -166.04, 95.4387, -54.1432, -16.2205, -205.452]
[271.528, -47.3998, 123.621, -166.04, 94.1388, -54.1432, -16.2205, -205.452]
[271.528, -47.3998, 123.621, -168.198, 94.1388, -51.9853, -16.2205, -205.452]
[272.799, -47.3998, 123.621, -168.198, 92.8674, -51.9853, -16.2205, -205.452]
[272.799, -47.3998, 124.912, -168.198, 92.8674, -53.2762, -16.2205, -205.452]
[272.799, -47.3998, 125.356, -168.642, 92.8674, -53.2762, -16.2205, -205.452]
